,Semana 1,,
Semana,Juego ,MH,Torneo
9,BAN VS FTA ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1822699?gameHash=e6ead6edcb43410c&tab=stats,Mixto
9,3SG VS GOAT,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1822766?gameHash=09154c9422e8a425&tab=overview,Mixto
9,FGO VS JV,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1822787?gameHash=7c09d1d2a5b73c5f&tab=overview,Mixto
9,RR VS TH,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1822803?gameHash=c229485d8048a1f5&tab=overview,Mixto
9,STK VS DEL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1813477?gameHash=1349d11df3f31807&tab=overview,Mixto
9,HIPO VS PG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1813512?gameHash=d72cf4ad7b5d0eae&tab=overview,Mixto
9,VL VS QE,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1813532?gameHash=a1cfcf572a124758&tab=stats,Mixto
9,VDL VS SAP,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1813536?gameHash=c92b7912b40ed917&tab=overview,Mixto
10,DEL VS HIPO,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1815064?gameHash=3360b130eed14ff2&tab=stats,Mixto
10,TH VS STK,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1815101?gameHash=a45f165548e24d2a&tab=stats,Mixto
10,FTA VS VDL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1815113?gameHash=103f6b96fa5ab2f9&tab=overview,Mixto
10,JV VS BAN,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1815115?gameHash=db697e3e196667a5&tab=overview,Mixto
10,FGO VS VL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1815751?gameHash=db22fafe2bbc5095&tab=stats,Mixto
10,SAP VS 3SG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1815790?gameHash=99d61c37f2462187&tab=overview,Mixto
10,GOAT VS RR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1815817?gameHash=3456090472e0b867&tab=overview,Mixto
10,PG VS QE,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1815824?gameHash=668f7bbe0f82863a&tab=stats,Mixto
11,HIPO VS TH,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1930992?gameHash=ece8dc115b232f2b&tab=stats,Mixto
11,VDL VS JV,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1920909?gameHash=59aa1857afbfa38e&tab=stats,Mixto
11,3SG VS FTA,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1920923?gameHash=3d98828895462b45&tab=overview,Mixto
11,BAN VS VL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1920927?gameHash=0823cae2e76b8fcb&tab=overview,Mixto
11,PG VS FGO,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1921115?gameHash=8eb0d6e54ab0b337&tab=stats,Mixto
11,RR VS SAP,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1921121?gameHash=266b5627ff63524b&tab=stats,Mixto
11,STK VS GOAT,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1921134?gameHash=24e2d7dafbdb3cce&tab=overview,Mixto
11,QE VS DEL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1921156?gameHash=75e0b35dcf0ec6b6&tab=overview,Mixto
12,GOAT VS HIPO,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1931464?gameHash=bd3342eac980e550&tab=overview,Mixto
12,VL VS VDL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1931468?gameHash=df015b8d2f48d2fa&tab=overview,Mixto
12,FGO VS DEL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1931473?gameHash=bf7fcf15876fbc97&tab=overview,Mixto
12,SAP VS STK,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1931478?gameHash=c85087b5a08826e6&tab=stats,Mixto
12,FTA VS RR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1921455?gameHash=a1704616da15a55c&tab=overview,Mixto
12,PG VS BAN,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1921458?gameHash=736f0e9159ff1e75&tab=overview,Mixto
12,TH VS QE,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1921463?gameHash=e88ba3243d2f8df9&tab=stats,Mixto
12,JV VS 3SG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1921464?gameHash=052ee2fa6365b0dd&tab=stats,Mixto
,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1840544?gameHash=2fbe430b6e710962&tab=stats,Mixto
,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1840551?gameHash=25621bd58ecfb2ca&tab=overview,Mixto
,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1840553?gameHash=92c38428ea62e15b&tab=overview,Mixto
,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1840557?gameHash=788e3ba73fe8d5f9&tab=overview,Mixto
